id,value
id_0,25.294140408200466
id_1,63.63063651122616
id_2,18.970706110372745
id_3,29.473522528734357
id_4,9.367613674139715
id_5,33.0176574526774
id_6,41.04125465382195
id_7,17.648171994465933
id_8,52.47265080614574
id_9,32.49864167405565
id_10,38.85792931103626
id_11,58.64178604584197
id_12,35.29624533410821
id_13,41.63203562769033
id_14,26.777075853920074
id_15,12.456882184752516
id_16,51.63173422728076
id_17,23.607911911544434
id_18,17.838147662763063
id_19,18.99519072709151
id_20,15.787256035059716
id_21,31.129533439245023
id_22,38.88212805969151
id_23,11.051436314172571
id_24,61.40351299911673
id_25,46.252638797461394
id_26,28.759530788011972
id_27,7.018203834822272
id_28,29.368541145621734
id_29,36.636586915039814
id_30,18.03543252665064
id_31,11.617681675160608
id_32,16.621252794007507
id_33,7.800223943080054
id_34,15.724990099410181
id_35,42.3649162128107
id_36,22.20427659737655
id_37,27.749600141197032
id_38,8.70854782367607
id_39,58.89143022039889
id_40,47.778416345515936
id_41,20.12998628662649
id_42,52.59052572207959
id_43,18.40599482794763
id_44,44.79836595420687
id_45,49.50253106358376
id_46,57.39455679264675
id_47,41.027308624648114
id_48,55.452485504494675
id_49,39.58128578501842
id_50,30.365441031352873
id_51,24.250100369967583
id_52,38.78459631061416
id_53,23.56786271567697
id_54,37.40992393976276
id_55,38.726173280481845
id_56,24.824321721318487
id_57,21.92257816974319
id_58,35.66278724117729
id_59,32.335264993670336
id_60,13.519213431855436
id_61,22.1281575560725
id_62,32.51747491603131
id_63,53.9798017323251
id_64,50.58666914752654
id_65,25.74142620063143
id_66,38.310699904221835
id_67,52.685953986486865
id_68,28.628111561515368
id_69,39.796833922364215
id_70,64.71710270898578
id_71,55.5326366380873
id_72,42.22974359207467
id_73,13.84534618339281
id_74,14.079633314325626
id_75,35.8257487115225
id_76,62.57964608840263
id_77,2.5618960494044707
id_78,41.31464380924261
id_79,42.38618192215151
id_80,8.384075913109552
id_81,22.885378842981414
id_82,5.237667123411408
id_83,30.828183346114326
id_84,8.46745109916572
id_85,5.051112635150847
id_86,17.181716050669394
id_87,11.254582731045346
id_88,20.13761830206331
id_89,25.280970301609646
id_90,34.99709299375371
id_91,11.568313519915387
id_92,12.585660586788865
id_93,9.017834802027831
id_94,38.10362987721842
id_95,14.776512397499229
id_96,16.88317246825724
id_97,8.77298214935929
id_98,11.59880732132158
id_99,4.820793987024821
id_100,9.83499072457638
id_101,18.221535131349533
id_102,11.964005862689788
id_103,8.085035609825889
id_104,12.68331057620869
id_105,36.57121830439726
id_106,25.999938357590594
id_107,7.388264084606945
id_108,16.68562539707024
id_109,15.097801449212698
id_110,12.121276646212024
id_111,16.70759198782988
id_112,16.272734716513014
id_113,26.45043347141606
id_114,18.896320230060848
id_115,16.436049768629243
id_116,5.894979619810094
id_117,46.00943421532361
id_118,26.76173301762357
id_119,0.5339600862053038
id_120,-0.9981726461553124
id_121,9.254510244729126
id_122,12.816433786722753
id_123,12.681938118812248
id_124,7.4814875581429625
id_125,25.10187572304035
id_126,21.08325841881978
id_127,10.307128271424883
id_128,20.51405248294416
id_129,14.325057059787234
id_130,-0.5593172467543605
id_131,32.48426654662208
id_132,13.776504690505265
id_133,21.28229704821043
id_134,26.506273994043976
id_135,23.779414687405605
id_136,10.187450763831336
id_137,20.94324329710524
id_138,78.56438506000367
id_139,60.679097854849786
id_140,26.56224405578467
id_141,18.793444356725036
id_142,24.34380278549277
id_143,7.348452136923226
id_144,11.797422901694048
id_145,10.261284404123828
id_146,19.053638743997926
id_147,7.594516830779417
id_148,12.609723528100485
id_149,15.29601980546849
id_150,46.42674023652079
id_151,22.31564749340827
id_152,22.050019901960653
id_153,14.320438811982012
id_154,14.00808829174296
id_155,24.68764999740615
id_156,25.34542386226672
id_157,36.45281545732993
id_158,4.587680329764964
id_159,23.5795295221795
id_160,42.90874512712417
id_161,19.232629166837658
id_162,63.96394716619346
id_163,17.02271143722018
id_164,33.632369334775774
id_165,24.2047331337185
id_166,24.09412489905219
id_167,0.21747921162762074
id_168,66.72267402884441
id_169,15.302047148470692
id_170,15.928308547761414
id_171,70.13541584485047
id_172,20.393437237406488
id_173,1.7187585018007336
id_174,23.414119776151274
id_175,-0.3378275577379102
id_176,7.41957682520939
id_177,18.214940951133713
id_178,20.42796663915804
id_179,25.020782894061586
id_180,43.1013168423018
id_181,31.810608136184904
id_182,27.913058485340635
id_183,13.11551449546214
id_184,6.774429990822245
id_185,41.75646916682287
id_186,35.964795485269136
id_187,34.58601992841602
id_188,17.186111478378027
id_189,23.211647088079722
id_190,14.284998645528933
id_191,16.379314465970953
id_192,30.723377449217317
id_193,71.7310925133405
id_194,29.268168336685058
id_195,10.885786969187855
id_196,63.470009670717374
id_197,15.858946496111127
id_198,20.13133912816397
id_199,20.84851425284195
id_200,124.18826398195353
id_201,23.227644304420203
id_202,58.22130990461031
id_203,6.2467868890255955
id_204,60.76468839486321
id_205,36.59511225325417
id_206,15.014812985355212
id_207,13.631023989231325
id_208,62.93106361996358
id_209,14.699550652746726
id_210,36.320368959689006
id_211,68.73907256011026
id_212,18.57868381552406
id_213,113.49792988990131
id_214,41.12207435092716
id_215,78.4369536953817
id_216,92.65904359149829
id_217,71.76858529798673
id_218,30.080882699542173
id_219,18.088460025155793
id_220,30.583100055318475
id_221,58.02540351827621
id_222,27.868524888376513
id_223,37.69071137512988
id_224,43.092131365984976
id_225,10.756868137956223
id_226,3.9029136590471123
id_227,80.76354297380252
id_228,30.999891706215507
id_229,1.0202891528595348
id_230,41.072446504350175
id_231,15.986103672522809
id_232,22.102902800289314
id_233,7.889453501231115
id_234,14.504001699503071
id_235,25.240606896210725
id_236,13.665404707132446
id_237,2.7092608778973055
id_238,21.522534682587313
id_239,11.355545338770131
